full_id;title;desc;pdf_url
r21-552;Les élus locaux face aux décharges sauvages;Rapport d'information de Mme Françoise GATEL, fait au nom de la délégation aux collectivités territoriales;http://www.senat.fr/rap/r21-552/r21-5521.pdf
r21-551;"Impact de la transition énergétique sur la sécurité d'approvisionnement électrique : la France est-elle en risque de ""black-out"" ?";Rapport d'information de MM. Daniel GREMILLET, Jean-Pierre MOGA et Jean-Jacques MICHAU, fait au nom de la commission des affaires économiques;http://www.senat.fr/rap/r21-551/r21-5511.pdf
r21-546;Les outre-mer au coeur de la stratégie maritime nationale;Rapport d'information de M. Philippe FOLLIOT, Mmes Annick PETRUS et Marie-Laure PHINERA-HORTH, fait au nom de la délégation sénatoriale aux outre-mer;http://www.senat.fr/rap/r21-546/r21-5461.pdf
r21-543;Bilan des mesures éducatives du quinquennat;Rapport d'information de Mme Annick BILLON, M. Max BRISSON et Mme Marie-Pierre MONIER, fait au nom de la commission de la culture, de l'éducation et de la communication;http://www.senat.fr/rap/r21-543/r21-5431.pdf
r21-538;Soutien public à la filière aéronautique : des aides d'urgence efficaces, une transformation  à accélérer;Rapport d'information de M. Vincent CAPO-CANELLAS, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-538/r21-5381.pdf
r21-537;Engager avec transparence la levée du passe vaccinal;Rapport d'information de Mme Chantal DESEYNE, M. Olivier HENNO et Mme Michelle MEUNIER, fait au nom de la commission des affaires sociales;http://www.senat.fr/rap/r21-537/r21-5371.pdf
r21-536;La prise en charge médicale des  personnes en Ehpad : un nouveau modèle à construire;Rapport d'information de M. Bernard BONNE et Mme Michelle MEUNIER, fait au nom de la commission des affaires sociales;http://www.senat.fr/rap/r21-536/r21-5361.pdf
r21-534;Instituts hospitalo-universitaires : un modèle à conforter;Rapport d'information de MM. Thierry MEIGNEN et Jean-François RAPIN, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-534/r21-5341.pdf
r21-531;Lutte contre la pandémie de la Covid-19 : Aspects scientifiques et techniques - Conséquences indirectes;Rapport de Mmes Florence LASSARADE, sénatrice, Sonia de LA PROVÔTÉ, sénatrice, MM. Jean-François ELIAOU, député et Gérard LESEUL, député, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-531/r21-5311.pdf
r21-520;Pour une nouvelle dynamique démocratique à partir des territoires : la démocratie implicative;Rapport d'information de Mme Françoise GATEL et M. Jean-Michel HOULLEGATTE, fait au nom de la délégation aux collectivités territoriales;http://www.senat.fr/rap/r21-520/r21-5201.pdf
r21-502;Repenser le financement et l'organisation de la recherche patrimoniale;Rapport d'information de MM. Vincent ÉBLÉ et Didier RAMBAUD, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-502/r21-5021.pdf
r21-501;L'enseignement supérieur du spectacle vivant;Rapport d'information de MM. Vincent ÉBLÉ et Didier RAMBAUD, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-501/r21-5011.pdf
r21-466;Suivi des recommandations du rapport Algues vertes en Bretagne : de la nécessité d'une ambition plus forte;Rapport d'information de M. Bernard DELCROS, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-466/r21-4661.pdf
r21-454;Territoires connectés et protection des populations - les élus, inventeurs de solutions;Rapport d'information de M. Antoine LEFÈVRE, Mme Anne-Catherine LOISIER et M. Jean-Yves ROUX, fait au nom de la délégation aux collectivités territoriales;http://www.senat.fr/rap/r21-454/r21-4541.pdf
r21-450;Le microbiote intestinal;Note scientifique de l'Office de M. Philippe BOLO, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-450/r21-4501.pdf
r21-402;pour suite à donner à l'enquête de la Cour des comptes, transmise en application de l'article 58-2° de la LOLF, sur le plan de transformation numérique de la justice;Rapport d'information de M. Antoine LEFÈVRE, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-402/r21-4021.pdf
r21-401;Prévention des risques industriels : ne pas baisser la garde;Rapport d'information de M. Pascal MARTIN, fait au nom de la commission de l'aménagement du territoire et du développement durable;http://www.senat.fr/rap/r21-401/r21-4011.pdf
r21-392;Contributions financières : mieux assurer la place de la France dans le multilatéralisme;Rapport d'information de MM. Vincent DELAHAYE et Rémi FÉRAUD, fait au nom de la commission des finances;http://www.senat.fr/rap/r21-392/r21-3921.pdf
r21-382;Services de soins à domicile :  une offre à développer, une stratégie à bâtir;Rapport d'information de M. Philippe MOUILLER, fait au nom de la commission des affaires sociales;http://www.senat.fr/rap/r21-382/r21-3821.pdf
r21-377;La stratégie quantique française;Rapport de MM. Gérard LONGUET, sénateur et Cédric VILLANI, député, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-377/r21-3771.pdf
r21-376;Les neurotechnologies;Note scientifique de l'Office de M. Patrick HETZEL, fait au nom de l'Office parlementaire d'évaluation des choix scientifiques et technologiques;http://www.senat.fr/rap/r21-376/r21-3761.pdf
r21-305;Projet de contrat d'objectifs et de moyens (COM) de l'Agence pour l'enseignement français à l'étranger (AEFE) (2021-2023);Rapport d'information de MM. Ronan LE GLEUT et André VALLINI, fait au nom de la commission des affaires étrangères, de la défense et des forces armées;http://www.senat.fr/rap/r21-305/r21-3051.pdf
